start,coefficient_stopping_time,search_bound_inclusive,record_minimality
2,1,1500000,EXACT_WITHIN_SCANNED_PREFIX
3,4,1500000,EXACT_WITHIN_SCANNED_PREFIX
7,7,1500000,EXACT_WITHIN_SCANNED_PREFIX
27,59,1500000,EXACT_WITHIN_SCANNED_PREFIX
703,81,1500000,EXACT_WITHIN_SCANNED_PREFIX
10087,105,1500000,EXACT_WITHIN_SCANNED_PREFIX
35655,135,1500000,EXACT_WITHIN_SCANNED_PREFIX
270271,164,1500000,EXACT_WITHIN_SCANNED_PREFIX
362343,165,1500000,EXACT_WITHIN_SCANNED_PREFIX
381727,173,1500000,EXACT_WITHIN_SCANNED_PREFIX
626331,176,1500000,EXACT_WITHIN_SCANNED_PREFIX
1027431,183,1500000,EXACT_WITHIN_SCANNED_PREFIX
1126015,224,1500000,EXACT_WITHIN_SCANNED_PREFIX
