source,steps,first_lower
300001,2,225001
300003,4,168752
300005,2,225004
300007,10,213580
300009,2,225007
300011,5,253135
300013,2,225010
300015,13,240284
300017,2,225013
300019,4,168761
300021,2,225016
300023,5,253145
300025,2,225019
300027,12,160196
300029,2,225022
300031,75,211163
300033,2,225025
300035,4,168770
300037,2,225028
300039,7,189869
300041,2,225031
300043,5,253162
300045,2,225034
300047,7,189874
300049,2,225037
300051,4,168779
300053,2,225040
300055,5,253172
300057,2,225043
300059,29,216532
300061,2,225046
300063,86,225520
300065,2,225049
300067,4,168788
300069,2,225052
300071,8,284834
300073,2,225055
300075,5,253189
300077,2,225058
300079,35,274067
300081,2,225061
300083,4,168797
300085,2,225064
300087,5,253199
300089,2,225067
300091,7,189902
300093,2,225070
300095,12,160232
300097,2,225073
300099,4,168806
300101,2,225076
300103,13,240355
300105,2,225079
300107,5,253216
300109,2,225082
300111,8,284872
300113,2,225085
300115,4,168815
300117,2,225088
300119,5,253226
300121,2,225091
300123,18,202813
300125,2,225094
300127,8,284887
300129,2,225097
300131,4,168824
300133,2,225100
300135,29,216587
300137,2,225103
300139,5,253243
300141,2,225106
300143,15,180290
300145,2,225109
300147,4,168833
300149,2,225112
300151,5,253253
300153,2,225115
300155,8,284914
300157,2,225118
300159,54,277880
300161,2,225121
300163,4,168842
300165,2,225124
300167,7,189950
300169,2,225127
300171,5,253270
300173,2,225130
300175,7,189955
300177,2,225133
300179,4,168851
300181,2,225136
300183,5,253280
300185,2,225139
300187,13,240422
300189,2,225142
300191,16,270478
300193,2,225145
300195,4,168860
300197,2,225148
300199,23,171167
300201,2,225151
300203,5,253297
300205,2,225154
300207,8,284963
300209,2,225157
300211,4,168869
300213,2,225160
300215,5,253307
300217,2,225163
300219,7,189983
300221,2,225166
300223,15,180338
300225,2,225169
300227,4,168878
300229,2,225172
300231,8,284986
300233,2,225175
300235,5,253324
300237,2,225178
300239,12,160309
300241,2,225181
300243,4,168887
300245,2,225184
300247,5,253334
300249,2,225187
300251,8,285005
300253,2,225190
300255,20,152177
300257,2,225193
300259,4,168896
300261,2,225196
300263,29,216680
300265,2,225199
300267,5,253351
300269,2,225202
300271,27,288913
300273,2,225205
300275,4,168905
300277,2,225208
300279,5,253361
300281,2,225211
300283,13,240499
300285,2,225214
300287,23,171217
300289,2,225217
300291,4,168914
300293,2,225220
300295,7,190031
300297,2,225223
300299,5,253378
300301,2,225226
300303,7,190036
300305,2,225229
300307,4,168923
300309,2,225232
300311,5,253388
300313,2,225235
300315,16,270590
300317,2,225238
300319,10,213802
300321,2,225241
300323,4,168932
300325,2,225244
300327,8,285077
300329,2,225247
300331,5,253405
300333,2,225250
300335,23,171245
300337,2,225253
300339,4,168941
300341,2,225256
300343,5,253415
300345,2,225259
300347,7,190064
300349,2,225262
300351,13,240553
300353,2,225265
300355,4,168950
300357,2,225268
300359,27,288998
300361,2,225271
300363,5,253432
300365,2,225274
300367,8,285115
300369,2,225277
300371,4,168959
300373,2,225280
300375,5,253442
300377,2,225283
300379,10,213845
300381,2,225286
300383,8,285130
300385,2,225289
300387,4,168968
300389,2,225292
300391,35,274352
300393,2,225295
300395,5,253459
300397,2,225298
300399,10,213859
300401,2,225301
300403,4,168977
300405,2,225304
300407,5,253469
300409,2,225307
300411,8,285157
300413,2,225310
300415,16,270680
300417,2,225313
300419,4,168986
300421,2,225316
300423,7,190112
300425,2,225319
300427,5,253486
300429,2,225322
300431,7,190117
300433,2,225325
300435,4,168995
300437,2,225328
300439,5,253496
300441,2,225331
300443,12,160418
300445,2,225334
300447,23,171308
300449,2,225337
300451,4,169004
300453,2,225340
300455,10,213899
300457,2,225343
300459,5,253513
300461,2,225346
300463,8,285206
300465,2,225349
300467,4,169013
300469,2,225352
300471,5,253523
300473,2,225355
300475,7,190145
300477,2,225358
300479,26,192742
300481,2,225361
300483,4,169022
300485,2,225364
300487,8,285229
300489,2,225367
300491,5,253540
300493,2,225370
300495,21,228448
300497,2,225373
300499,4,169031
300501,2,225376
300503,5,253550
300505,2,225379
300507,8,285248
300509,2,225382
300511,15,180511
300513,2,225385
300515,4,169040
300517,2,225388
300519,13,240688
300521,2,225391
300523,5,253567
300525,2,225394
300527,13,240694
300529,2,225397
300531,4,169049
300533,2,225400
300535,5,253577
300537,2,225403
300539,10,213959
300541,2,225406
300543,15,180530
300545,2,225409
300547,4,169058
300549,2,225412
300551,7,190193
300553,2,225415
300555,5,253594
300557,2,225418
300559,7,190198
300561,2,225421
300563,4,169067
300565,2,225424
300567,5,253604
300569,2,225427
300571,16,270821
