kind,level,total,closed,unresolved_at_level,next_level_children,previous_unresolved,unresolved_growth_ratio
BINARY_DP,0,1,,1,,,
BINARY_DP,1,1,,1,,1,1/1
BINARY_DP,2,1,,1,,1,1/1
BINARY_DP,3,2,,2,,1,2/1
BINARY_DP,4,3,,3,,2,3/2
BINARY_DP,5,4,,4,,3,4/3
BINARY_DP,6,8,,8,,4,8/4
BINARY_DP,7,13,,13,,8,13/8
BINARY_DP,8,19,,19,,13,19/13
BINARY_DP,9,38,,38,,19,38/19
BINARY_DP,10,64,,64,,38,64/38
BINARY_DP,11,128,,128,,64,128/64
BINARY_DP,12,226,,226,,128,226/128
BINARY_DP,13,367,,367,,226,367/226
BINARY_DP,14,734,,734,,367,734/367
BINARY_DP,15,1295,,1295,,734,1295/734
BINARY_DP,16,2114,,2114,,1295,2114/1295
BINARY_DP,17,4228,,4228,,2114,4228/2114
BINARY_DP,18,7495,,7495,,4228,7495/4228
BINARY_DP,19,14990,,14990,,7495,14990/7495
BINARY_DP,20,27328,,27328,,14990,27328/14990
BINARY_DP,21,46611,,46611,,27328,46611/27328
BINARY_DP,22,93222,,93222,,46611,93222/46611
BINARY_DP,23,168807,,168807,,93222,168807/93222
BINARY_DP,24,286581,,286581,,168807,286581/168807
BINARY_DP,25,573162,,573162,,286581,573162/286581
BINARY_DP,26,1037374,,1037374,,573162,1037374/573162
TERNARY_REFINEMENT,0,27328,11458,15870,47610,,
TERNARY_REFINEMENT,1,47610,15870,31740,95220,15870,31740/15870
TERNARY_REFINEMENT,2,95220,15870,79350,,31740,79350/31740
