ternary_level,r,M,y,A,t_min,parity_word,ternary_path,status,reverse_odd_steps,reverse_exponent_sum,reverse_exponents,smaller_family_constant,smaller_family_slope,minimum_represented_n
0,27,1048576,395,14348907,0,11011111010110111011,,TERNARY_SPLIT,,,,,,27
1,27,3145728,395,43046721,0,11011111010110111011,0,TERNARY_SPLIT,,,,,,27
2,27,9437184,395,129140163,0,11011111010110111011,00,OPEN,,,,,,27
2,3145755,9437184,43047116,129140163,0,11011111010110111011,01,OPEN,,,,,,3145755
2,6291483,9437184,86093837,129140163,0,11011111010110111011,02,OPEN,,,,,,6291483
1,1048603,3145728,14349302,43046721,0,11011111010110111011,1,TERNARY_SPLIT,,,,,,1048603
2,1048603,9437184,14349302,129140163,0,11011111010110111011,10,REVERSE_MERGE,17,23,"[1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,2,1]",932091,8388608,1048603
2,4194331,9437184,57396023,129140163,0,11011111010110111011,11,OPEN,,,,,,4194331
2,7340059,9437184,100442744,129140163,0,11011111010110111011,12,OPEN,,,,,,7340059
1,2097179,3145728,28698209,43046721,0,11011111010110111011,2,REVERSE_MERGE,16,21,"[1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1]",1398119,2097152,2097179
0,524315,1048576,2391616,4782969,0,11011111010110111010,,TERNARY_SPLIT,,,,,,524315
1,524315,3145728,2391616,14348907,0,11011111010110111010,0,REVERSE_MERGE,15,21,"[2,2,1,1,2,1,2,2,1,1,1,1,2,1,1]",349543,2097152,524315
1,1572891,3145728,7174585,14348907,0,11011111010110111010,1,TERNARY_SPLIT,,,,,,1572891
2,1572891,9437184,7174585,43046721,0,11011111010110111010,10,OPEN,,,,,,1572891
2,4718619,9437184,21523492,43046721,0,11011111010110111010,11,OPEN,,,,,,4718619
2,7864347,9437184,35872399,43046721,0,11011111010110111010,12,OPEN,,,,,,7864347
1,2621467,3145728,11957554,14348907,0,11011111010110111010,2,TERNARY_SPLIT,,,,,,2621467
2,2621467,9437184,11957554,43046721,0,11011111010110111010,20,OPEN,,,,,,2621467
2,5767195,9437184,26306461,43046721,0,11011111010110111010,21,REVERSE_MERGE,16,23,"[2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,1]",5126395,8388608,5767195
2,8912923,9437184,40655368,43046721,0,11011111010110111010,22,OPEN,,,,,,8912923
0,262171,1048576,1195874,4782969,0,11011111010110111001,,TERNARY_SPLIT,,,,,,262171
1,262171,3145728,1195874,14348907,0,11011111010110111001,0,TERNARY_SPLIT,,,,,,262171
2,262171,9437184,1195874,43046721,0,11011111010110111001,00,OPEN,,,,,,262171
2,3407899,9437184,15544781,43046721,0,11011111010110111001,01,REVERSE_MERGE,16,23,"[1,3,1,1,2,1,2,2,1,1,1,1,2,1,2,1]",3029243,8388608,3407899
2,6553627,9437184,29893688,43046721,0,11011111010110111001,02,OPEN,,,,,,6553627
1,1310747,3145728,5978843,14348907,0,11011111010110111001,1,REVERSE_MERGE,15,21,"[1,3,1,1,2,1,2,2,1,1,1,1,2,1,1]",873831,2097152,1310747
1,2359323,3145728,10761812,14348907,0,11011111010110111001,2,TERNARY_SPLIT,,,,,,2359323
2,2359323,9437184,10761812,43046721,0,11011111010110111001,20,OPEN,,,,,,2359323
2,5505051,9437184,25110719,43046721,0,11011111010110111001,21,OPEN,,,,,,5505051
2,8650779,9437184,39459626,43046721,0,11011111010110111001,22,OPEN,,,,,,8650779
0,786459,1048576,1195786,1594323,0,11011111010110111000,,TERNARY_SPLIT,,,,,,786459
1,786459,3145728,1195786,4782969,0,11011111010110111000,0,TERNARY_SPLIT,,,,,,786459
2,786459,9437184,1195786,14348907,0,11011111010110111000,00,OPEN,,,,,,786459
2,3932187,9437184,5978755,14348907,0,11011111010110111000,01,OPEN,,,,,,3932187
2,7077915,9437184,10761724,14348907,0,11011111010110111000,02,OPEN,,,,,,7077915
1,1835035,3145728,2790109,4782969,0,11011111010110111000,1,TERNARY_SPLIT,,,,,,1835035
2,1835035,9437184,2790109,14348907,0,11011111010110111000,10,OPEN,,,,,,1835035
2,4980763,9437184,7573078,14348907,0,11011111010110111000,11,OPEN,,,,,,4980763
2,8126491,9437184,12356047,14348907,0,11011111010110111000,12,REVERSE_MERGE,15,23,"[4,1,1,2,1,2,2,1,1,1,1,2,1,2,1]",7223547,8388608,8126491
1,2883611,3145728,4384432,4782969,0,11011111010110111000,2,REVERSE_MERGE,14,21,"[4,1,1,2,1,2,2,1,1,1,1,2,1,1]",1922407,2097152,2883611
0,131099,1048576,1794008,14348907,0,11011111010110111101,,TERNARY_SPLIT,,,,,,131099
